Gene stable ID	Gene stable ID version	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name
ENSMUSG00000088783	ENSMUSG00000088783.1	5	75909827	75909927	Gm25374
ENSMUSG00000093998	ENSMUSG00000093998.1	17	13249895	13250000	Gm26500
ENSMUSG00000076230	ENSMUSG00000076230.1	2	156410929	156411024	Gm22758
ENSMUSG00000088060	ENSMUSG00000088060.1	17	74000860	74001002	Gm24475
ENSMUSG00000096849	ENSMUSG00000096849.1	17	15837549	15837655	Gm25598
ENSMUSG00000084475	ENSMUSG00000084475.1	16	8449498	8449786	Gm25782
ENSMUSG00000096080	ENSMUSG00000096080.1	10	37931680	37931780	Gm24710
ENSMUSG00000077666	ENSMUSG00000077666.1	9	84188355	84188539	Gm26146
ENSMUSG00000098648	ENSMUSG00000098648.1	14	117953743	117953847	Mir6239
ENSMUSG00000077706	ENSMUSG00000077706.1	11	90185009	90185127	n-R5s72
ENSMUSG00000092850	ENSMUSG00000092850.1	7	61982289	61982359	Mir344g
ENSMUSG00000094472	ENSMUSG00000094472.1	16	15317458	15318957	Gm21897
ENSMUSG00000088281	ENSMUSG00000088281.1	7	45254453	45254554	Gm23585
ENSMUSG00000095636	ENSMUSG00000095636.1	1	171733299	171733405	Gm22950
ENSMUSG00000089146	ENSMUSG00000089146.1	10	94948590	94948893	Gm25266
ENSMUSG00000080409	ENSMUSG00000080409.1	9	115381819	115381939	Mir467h
ENSMUSG00000077795	ENSMUSG00000077795.1	2	160996777	160996901	Gm25561
ENSMUSG00000065634	ENSMUSG00000065634.1	19	25166085	25166216	Gm24252
ENSMUSG00000065575	ENSMUSG00000065575.1	13	113037534	113037624	Mir449a
ENSMUSG00000095472	ENSMUSG00000095472.1	7	44250135	44250224	Snord88a
ENSMUSG00000064395	ENSMUSG00000064395.1	1	130595570	130595676	Gm23623
ENSMUSG00000089287	ENSMUSG00000089287.1	3	4567203	4567335	Gm22944
ENSMUSG00000077250	ENSMUSG00000077250.1	6	8501236	8501356	Gm26075
ENSMUSG00000084629	ENSMUSG00000084629.1	12	116476896	116476999	Gm25112
ENSMUSG00000099125	ENSMUSG00000099125.1	11	106920658	106920761	Gm27322
ENSMUSG00000099322	ENSMUSG00000099322.1	4	129762311	129762436	Gm28017
ENSMUSG00000089346	ENSMUSG00000089346.1	12	51740241	51740342	Gm22663
ENSMUSG00000092928	ENSMUSG00000092928.1	6	48048703	48048795	Gm24563
ENSMUSG00000084686	ENSMUSG00000084686.1	3	96176361	96176487	Gm22027
ENSMUSG00000077681	ENSMUSG00000077681.1	7	59347337	59347424	Gm22496
ENSMUSG00000093163	ENSMUSG00000093163.1	4	129282865	129282946	Gm22994
ENSMUSG00000093239	ENSMUSG00000093239.1	9	64225523	64225649	Gm24106
ENSMUSG00000106302	ENSMUSG00000106302.1	1	93346092	93346155	Mir6902
ENSMUSG00000105064	ENSMUSG00000105064.1	17	91862602	91862736	Gm44345
ENSMUSG00000076233	ENSMUSG00000076233.1	2	103843418	103843513	Gm22761
ENSMUSG00000089272	ENSMUSG00000089272.1	2	54565998	54566136	Gm24549
ENSMUSG00000088618	ENSMUSG00000088618.1	1	165785834	165785951	Gm24808
ENSMUSG00000096502	ENSMUSG00000096502.1	7	59718588	59718681	Gm23089
ENSMUSG00000077726	ENSMUSG00000077726.1	3	124501574	124501703	Gm22900
ENSMUSG00000064631	ENSMUSG00000064631.1	15	87169113	87169216	n-R5s42
ENSMUSG00000087960	ENSMUSG00000087960.1	18	19707093	19707389	Gm25392
ENSMUSG00000064758	ENSMUSG00000064758.1	8	89589435	89589541	Gm26331
ENSMUSG00000093021	ENSMUSG00000093021.1	15	36798698	36798771	Gm25303
ENSMUSG00000089132	ENSMUSG00000089132.1	X	167902315	167902424	Gm24772
ENSMUSG00000064413	ENSMUSG00000064413.1	2	132717106	132717208	Gm22245
ENSMUSG00000087782	ENSMUSG00000087782.1	1	13334498	13334609	Gm23169
ENSMUSG00000089197	ENSMUSG00000089197.1	5	36671658	36671781	Gm25767
ENSMUSG00000098625	ENSMUSG00000098625.1	15	76248191	76248258	Mir6953
ENSMUSG00000093345	ENSMUSG00000093345.2	8	106071615	106071874	Gm27956
ENSMUSG00000089359	ENSMUSG00000089359.1	11	15452422	15452551	Gm25490
ENSMUSG00000089250	ENSMUSG00000089250.1	15	12158333	12158441	Gm25713
ENSMUSG00000064673	ENSMUSG00000064673.1	9	46630113	46630219	Gm22805
ENSMUSG00000089218	ENSMUSG00000089218.1	4	17559917	17560019	Gm23384
ENSMUSG00000089395	ENSMUSG00000089395.1	1	32726639	32726930	Gm23024
ENSMUSG00000089265	ENSMUSG00000089265.1	4	41203057	41203133	Gm22888
ENSMUSG00000093359	ENSMUSG00000093359.1	7	36302515	36302615	Gm23292
ENSMUSG00000095033	ENSMUSG00000095033.1	16	36403779	36403885	Gm22349
ENSMUSG00000095671	ENSMUSG00000095671.1	7	59492432	59492510	Gm25098
ENSMUSG00000065561	ENSMUSG00000065561.2	12	109743418	109743496	Mir369
ENSMUSG00000088147	ENSMUSG00000088147.1	10	129695978	129696101	Gm24717
ENSMUSG00000076964	ENSMUSG00000076964.1	10	129582786	129582895	Gm23252
ENSMUSG00000096147	ENSMUSG00000096147.1	6	53433974	53434137	Gm25818
ENSMUSG00000098792	ENSMUSG00000098792.1	11	116839794	116839966	Gm27401
ENSMUSG00000064432	ENSMUSG00000064432.1	10	105040273	105040438	Gm25587
ENSMUSG00000077402	ENSMUSG00000077402.1	18	90504615	90504743	Gm25418
ENSMUSG00000088678	ENSMUSG00000088678.1	8	53006408	53006523	Gm23666
ENSMUSG00000065565	ENSMUSG00000065565.1	1	137966455	137966541	Mir181a-1
ENSMUSG00000094109	ENSMUSG00000094109.1	7	59764088	59764181	Gm22776
ENSMUSG00000080580	ENSMUSG00000080580.1	13	71107089	71107209	Mir466f-4
ENSMUSG00000096005	ENSMUSG00000096005.1	13	79454970	79455076	Gm24863
ENSMUSG00000080561	ENSMUSG00000080561.1	1	165024345	165024456	Gm26042
ENSMUSG00000095435	ENSMUSG00000095435.1	16	94869464	94869533	Gm22745
ENSMUSG00000089588	ENSMUSG00000089588.1	4	123490231	123490336	Gm23548
ENSMUSG00000077990	ENSMUSG00000077990.1	2	157562361	157562447	Gm23134
ENSMUSG00000087886	ENSMUSG00000087886.1	1	165497999	165498249	Gm23599
ENSMUSG00000088701	ENSMUSG00000088701.1	X	21716017	21716095	Gm25553
ENSMUSG00000064706	ENSMUSG00000064706.1	18	69777936	69778045	Gm22508
ENSMUSG00000098955	ENSMUSG00000098955.1	11	120347350	120347413	Mir6935
ENSMUSG00000077543	ENSMUSG00000077543.1	11	34842228	34842354	Gm22022
ENSMUSG00000089080	ENSMUSG00000089080.1	5	32913631	32913730	Gm24003
ENSMUSG00000064770	ENSMUSG00000064770.1	17	78858934	78859052	n-R5s29
ENSMUSG00000104863	ENSMUSG00000104863.1	18	35557132	35557242	Gm49347
ENSMUSG00000092825	ENSMUSG00000092825.1	2	76479219	76479329	Gm23164
ENSMUSG00000098489	ENSMUSG00000098489.1	2	164354313	164354383	Mir7678
ENSMUSG00000089033	ENSMUSG00000089033.1	16	74058899	74059033	Gm22163
ENSMUSG00000093273	ENSMUSG00000093273.2	11	106782693	106782759	Mir3064
ENSMUSG00000096350	ENSMUSG00000096350.1	4	132408309	132408404	Gm25707
ENSMUSG00000070074	ENSMUSG00000070074.1	16	14159626	14159692	Mir484
ENSMUSG00000064414	ENSMUSG00000064414.1	1	85674882	85674985	n-R5s215
ENSMUSG00000094608	ENSMUSG00000094608.1	8	15413980	15414089	Gm25871
ENSMUSG00000088972	ENSMUSG00000088972.2	5	130782701	130782804	Gm23761
ENSMUSG00000065555	ENSMUSG00000065555.1	17	34024983	34025092	Mir219a-1
ENSMUSG00000065804	ENSMUSG00000065804.1	11	47912385	47912545	Gm23039
ENSMUSG00000098745	ENSMUSG00000098745.1	15	82504596	82504655	Gm27825
ENSMUSG00000098944	ENSMUSG00000098944.1	3	65659288	65659426	Mir8120
ENSMUSG00000077271	ENSMUSG00000077271.1	4	3796447	3796583	Gm22781
ENSMUSG00000098874	ENSMUSG00000098874.1	6	17694902	17695085	Gm27960
ENSMUSG00000076219	ENSMUSG00000076219.1	12	109727333	109727414	Mir487b
ENSMUSG00000094573	ENSMUSG00000094573.1	7	59874380	59874473	Snord116l13
ENSMUSG00000077464	ENSMUSG00000077464.1	2	61280278	61280409	Gm26422
ENSMUSG00000093362	ENSMUSG00000093362.1	14	111282046	111282134	Gm22802
ENSMUSG00000077736	ENSMUSG00000077736.1	1	83921918	83922041	Gm24555
ENSMUSG00000088043	ENSMUSG00000088043.1	2	67420031	67420162	Gm23328
ENSMUSG00000075906	ENSMUSG00000075906.1	7	5277344	5277450	Gm23942
ENSMUSG00000093149	ENSMUSG00000093149.1	16	64918222	64918305	Gm23374
ENSMUSG00000099323	ENSMUSG00000099323.1	13	108498775	108498970	Gm28016
ENSMUSG00000089203	ENSMUSG00000089203.1	12	24779018	24779146	Gm26211
ENSMUSG00000084651	ENSMUSG00000084651.1	13	109903809	109903888	Mir1904
ENSMUSG00000094901	ENSMUSG00000094901.1	18	60174317	60174426	Gm23576
ENSMUSG00000104997	ENSMUSG00000104997.1	13	23683535	23683672	Gm44350
ENSMUSG00000065253	ENSMUSG00000065253.1	2	20280519	20280625	Gm23970
ENSMUSG00000065684	ENSMUSG00000065684.1	3	120317884	120317989	Gm23733
ENSMUSG00000089185	ENSMUSG00000089185.1	4	11279265	11279419	Gm22940
ENSMUSG00000088541	ENSMUSG00000088541.1	3	17251301	17251444	Gm24963
ENSMUSG00000088162	ENSMUSG00000088162.1	8	31544463	31544686	Gm23539
ENSMUSG00000094717	ENSMUSG00000094717.1	9	109295542	109295648	Gm22821
ENSMUSG00000092912	ENSMUSG00000092912.1	1	136697374	136697471	Gm24086
ENSMUSG00000077039	ENSMUSG00000077039.1	1	100861793	100861901	Gm25537
ENSMUSG00000065470	ENSMUSG00000065470.1	1	92850378	92850443	Mir149
ENSMUSG00000080631	ENSMUSG00000080631.1	11	24679568	24679711	Gm25507
ENSMUSG00000076357	ENSMUSG00000076357.2	6	3721301	3721385	Mir653
ENSMUSG00000077385	ENSMUSG00000077385.1	9	65952314	65952445	Gm22657
ENSMUSG00000077869	ENSMUSG00000077869.1	7	61735537	61735602	Mir344e
ENSMUSG00000064577	ENSMUSG00000064577.1	11	34899017	34899123	Gm25799
ENSMUSG00000096387	ENSMUSG00000096387.1	7	59355152	59355230	Gm26488
ENSMUSG00000089507	ENSMUSG00000089507.1	3	70228747	70228874	Gm23477
ENSMUSG00000089050	ENSMUSG00000089050.1	10	27452289	27452360	Gm23353
ENSMUSG00000105214	ENSMUSG00000105214.1	15	21947331	21947499	Gm44373
ENSMUSG00000088748	ENSMUSG00000088748.1	11	78824387	78824473	Gm23219
ENSMUSG00000089385	ENSMUSG00000089385.1	16	68452859	68452965	Gm24681
ENSMUSG00000105874	ENSMUSG00000105874.1	13	23934707	23934835	Gm44344
ENSMUSG00000077494	ENSMUSG00000077494.1	9	107164977	107165106	Gm23595
ENSMUSG00000095747	ENSMUSG00000095747.1	17	5421464	5421565	Gm22475
ENSMUSG00000105411	ENSMUSG00000105411.1	13	119269486	119269604	Gm44488
ENSMUSG00000084479	ENSMUSG00000084479.1	4	49474307	49474410	Gm26424
ENSMUSG00000106366	ENSMUSG00000106366.1	12	105031077	105031141	Mir3069
ENSMUSG00000088779	ENSMUSG00000088779.1	1	132100639	132100754	Gm26034
ENSMUSG00000094473	ENSMUSG00000094473.1	17	93246708	93246814	Gm25935
ENSMUSG00000075726	ENSMUSG00000075726.1	7	59483074	59483152	Gm23254
ENSMUSG00000093571	ENSMUSG00000093571.1	7	30311525	30311895	Gm24757
ENSMUSG00000088450	ENSMUSG00000088450.1	16	55779045	55779144	Gm26369
ENSMUSG00000089115	ENSMUSG00000089115.1	6	118834900	118835000	Gm25905
ENSMUSG00000104627	ENSMUSG00000104627.1	1	86351981	86352127	Mir3535
ENSMUSG00000098479	ENSMUSG00000098479.1	14	65206894	65206969	Gm27263
ENSMUSG00000089286	ENSMUSG00000089286.1	4	57762607	57762710	Gm24277
ENSMUSG00000096514	ENSMUSG00000096514.1	6	123506711	123506842	Gm25891
ENSMUSG00000105908	ENSMUSG00000105908.1	11	53409197	53409267	Mir6920
ENSMUSG00000089069	ENSMUSG00000089069.1	6	93890615	93890750	Gm22840
ENSMUSG00000089442	ENSMUSG00000089442.1	6	25199929	25200051	Gm22529
ENSMUSG00000089077	ENSMUSG00000089077.1	3	85962771	85962832	Gm24501
ENSMUSG00000076424	ENSMUSG00000076424.1	16	62808349	62808416	Gm25986
ENSMUSG00000087987	ENSMUSG00000087987.1	4	127284731	127284833	Gm22221
ENSMUSG00000065845	ENSMUSG00000065845.1	2	117248271	117248434	Gm25189
ENSMUSG00000088086	ENSMUSG00000088086.1	9	122812564	122812831	Gm25341
ENSMUSG00000065053	ENSMUSG00000065053.1	4	31174909	31175012	Gm25705
ENSMUSG00000058360	ENSMUSG00000058360.5	3	68733137	68738077	Gm10040
ENSMUSG00000087877	ENSMUSG00000087877.1	3	131918259	131918353	Gm26103
ENSMUSG00000065617	ENSMUSG00000065617.1	12	109712508	109712593	Mir323
ENSMUSG00000087994	ENSMUSG00000087994.1	10	58704576	58704651	Gm25055
ENSMUSG00000093234	ENSMUSG00000093234.1	19	42280082	42280170	Mir3085
ENSMUSG00000099243	ENSMUSG00000099243.1	2	105122188	105122481	Gm27538
ENSMUSG00000065807	ENSMUSG00000065807.1	3	155788365	155788468	Gm23038
ENSMUSG00000093061	ENSMUSG00000093061.1	5	77272757	77272838	Mir5098
ENSMUSG00000088999	ENSMUSG00000088999.1	6	123954883	123954989	Gm22763
ENSMUSG00000088810	ENSMUSG00000088810.1	9	68280574	68280703	Gm22382
ENSMUSG00000084718	ENSMUSG00000084718.1	4	81918513	81918623	n-R5s187
ENSMUSG00000084734	ENSMUSG00000084734.1	13	13329484	13329671	Gm25804
ENSMUSG00000098442	ENSMUSG00000098442.1	15	89305658	89305732	Mir6959
ENSMUSG00000094154	ENSMUSG00000094154.1	11	71233807	71233940	Gm23266
ENSMUSG00000077270	ENSMUSG00000077270.1	12	65566090	65566221	Gm22782
ENSMUSG00000093139	ENSMUSG00000093139.1	15	99254882	99255014	Gm25999
ENSMUSG00000098770	ENSMUSG00000098770.1	19	33592607	33592713	Gm27440
ENSMUSG00000088490	ENSMUSG00000088490.1	19	43857245	43857351	Gm24400
ENSMUSG00000065480	ENSMUSG00000065480.1	1	20682769	20682887	Mir133b
ENSMUSG00000089028	ENSMUSG00000089028.1	4	43201149	43201213	Gm25010
ENSMUSG00000088907	ENSMUSG00000088907.1	19	19275899	19276030	Gm25437
ENSMUSG00000089294	ENSMUSG00000089294.1	4	139967526	139967620	Mir2139
ENSMUSG00000093125	ENSMUSG00000093125.1	7	128478014	128478138	Gm24365
ENSMUSG00000064719	ENSMUSG00000064719.1	11	53390402	53390508	Gm25930
ENSMUSG00000089144	ENSMUSG00000089144.1	2	46606967	46607083	Gm25264
ENSMUSG00000106563	ENSMUSG00000106563.1	15	101193869	101193931	Mir6962
ENSMUSG00000088616	ENSMUSG00000088616.1	X	98814775	98814881	Gm26000
ENSMUSG00000099236	ENSMUSG00000099236.2	12	109734732	109734797	Mir668
ENSMUSG00000087896	ENSMUSG00000087896.1	7	75668873	75668956	Gm25282
ENSMUSG00000070136	ENSMUSG00000070136.1	12	109739119	109739197	Mir496a
ENSMUSG00000096200	ENSMUSG00000096200.1	17	4678020	4678126	Gm23186
ENSMUSG00000088232	ENSMUSG00000088232.1	X	155139896	155140027	Gm25429
ENSMUSG00000095796	ENSMUSG00000095796.1	16	46219836	46219967	Gm26297
ENSMUSG00000093262	ENSMUSG00000093262.1	16	4057373	4057497	Gm23413
ENSMUSG00000094442	ENSMUSG00000094442.1	7	59591422	59591500	Gm25452
ENSMUSG00000088064	ENSMUSG00000088064.1	2	162816311	162816468	Gm24478
ENSMUSG00000077772	ENSMUSG00000077772.1	7	59923034	59923122	Gm22373
ENSMUSG00000093173	ENSMUSG00000093173.1	12	108721848	108721924	Gm23872
ENSMUSG00000095176	ENSMUSG00000095176.1	6	60071058	60071186	Gm22723
ENSMUSG00000065594	ENSMUSG00000065594.1	19	34820687	34820773	Mir107
ENSMUSG00000089423	ENSMUSG00000089423.1	X	163388772	163388891	Gm26007
ENSMUSG00000087712	ENSMUSG00000087712.1	X	101912630	101912724	Gm25828
ENSMUSG00000099261	ENSMUSG00000099261.1	19	3288920	3288983	Mir6984
ENSMUSG00000089517	ENSMUSG00000089517.1	12	109641022	109641094	Gm24899
ENSMUSG00000088096	ENSMUSG00000088096.1	1	144609004	144609110	Gm23672
ENSMUSG00000077336	ENSMUSG00000077336.1	3	133588406	133588537	Gm23011
ENSMUSG00000099160	ENSMUSG00000099160.1	5	92458557	92458656	Mir6415
ENSMUSG00000096799	ENSMUSG00000096799.1	7	59375713	59375791	Gm22996
ENSMUSG00000096328	ENSMUSG00000096328.1	7	59423055	59423133	Gm26337
ENSMUSG00000065836	ENSMUSG00000065836.1	14	21812711	21812855	Gm23502
ENSMUSG00000067085	ENSMUSG00000067085.1	19	53371566	53371766	Gm10197
ENSMUSG00000095631	ENSMUSG00000095631.1	9	74059339	74059457	n-R5s86
ENSMUSG00000105435	ENSMUSG00000105435.1	9	75911422	75911525	Gm44355
ENSMUSG00000098848	ENSMUSG00000098848.1	6	83710739	83710932	Gm27893
ENSMUSG00000095146	ENSMUSG00000095146.2	6	113422150	113422239	Gm24387
ENSMUSG00000077645	ENSMUSG00000077645.1	7	59458815	59458883	Gm24983
ENSMUSG00000096090	ENSMUSG00000096090.1	7	59548359	59548437	Gm26334
ENSMUSG00000064751	ENSMUSG00000064751.1	4	117155186	117155289	Gm26330
ENSMUSG00000089525	ENSMUSG00000089525.1	17	12770631	12770882	Gm23833
ENSMUSG00000071586	ENSMUSG00000071586.4	15	102503722	102503886	Gm10337
ENSMUSG00000077356	ENSMUSG00000077356.1	7	58148096	58148227	Gm26288
ENSMUSG00000065486	ENSMUSG00000065486.1	X	53048154	53048244	Mir450-1
ENSMUSG00000077782	ENSMUSG00000077782.1	1	79513739	79513864	Gm24160
ENSMUSG00000084422	ENSMUSG00000084422.1	6	42275650	42275727	Gm25108
ENSMUSG00000084493	ENSMUSG00000084493.1	15	73729164	73729290	Gm22106
ENSMUSG00000064595	ENSMUSG00000064595.1	4	56913642	56913767	Gm22300
ENSMUSG00000098737	ENSMUSG00000098737.1	3	95734911	95734973	Mir7014
ENSMUSG00000089270	ENSMUSG00000089270.1	2	149566194	149566285	Gm24551
ENSMUSG00000065471	ENSMUSG00000065471.1	X	19146893	19146971	Mir222
ENSMUSG00000098674	ENSMUSG00000098674.1	6	108456183	108456536	Gm27813
ENSMUSG00000076252	ENSMUSG00000076252.1	3	127545228	127545301	Mir302b
ENSMUSG00000089024	ENSMUSG00000089024.1	10	25266045	25266175	Gm25016
ENSMUSG00000096923	ENSMUSG00000096923.1	11	6200029	6201643	A730071L15Rik
ENSMUSG00000098978	ENSMUSG00000098978.1	8	7525256	7525457	Gm27545
ENSMUSG00000098514	ENSMUSG00000098514.1	Y	5542752	5542861	Gm27663
ENSMUSG00000065629	ENSMUSG00000065629.2	1	39519533	39519747	Gm24826
ENSMUSG00000095175	ENSMUSG00000095175.1	6	123539901	123540032	Gm22722
ENSMUSG00000077422	ENSMUSG00000077422.1	X	157430604	157430739	Gm24281
ENSMUSG00000098435	ENSMUSG00000098435.1	6	52246399	52246585	Gm27492
ENSMUSG00000084752	ENSMUSG00000084752.1	3	72737831	72737981	Gm22451
ENSMUSG00000099307	ENSMUSG00000099307.1	10	92135700	92135808	Gm27419
ENSMUSG00000087982	ENSMUSG00000087982.1	16	8873079	8873171	Gm22224
ENSMUSG00000077630	ENSMUSG00000077630.1	12	82772321	82772456	Gm22149
ENSMUSG00000064679	ENSMUSG00000064679.1	12	109657125	109657196	Gm25357
ENSMUSG00000064834	ENSMUSG00000064834.1	3	35735373	35735477	Gm25696
ENSMUSG00000089194	ENSMUSG00000089194.1	4	73114657	73114783	Gm25769
ENSMUSG00000064428	ENSMUSG00000064428.1	X	163150391	163150497	Gm22746
ENSMUSG00000105210	ENSMUSG00000105210.1	12	109585813	109585873	Mir3544
ENSMUSG00000088789	ENSMUSG00000088789.1	12	105031075	105031349	Scarna13
ENSMUSG00000088353	ENSMUSG00000088353.1	1	57467870	57468026	Gm24014
ENSMUSG00000088944	ENSMUSG00000088944.1	X	56750010	56750115	Gm23258
ENSMUSG00000092638	ENSMUSG00000092638.1	18	82720281	82720340	Mir5112
ENSMUSG00000076142	ENSMUSG00000076142.1	9	108969922	108970003	Mir711
ENSMUSG00000089087	ENSMUSG00000089087.1	19	35203235	35203366	Gm24006
ENSMUSG00000098879	ENSMUSG00000098879.1	12	11299887	11299944	Mir7675
ENSMUSG00000092695	ENSMUSG00000092695.1	3	27584900	27584995	Mir3092
ENSMUSG00000064663	ENSMUSG00000064663.1	12	52603788	52603894	Gm24859
ENSMUSG00000094020	ENSMUSG00000094020.1	16	55594782	55594888	Gm23003
ENSMUSG00000099208	ENSMUSG00000099208.1	1	195240910	195241007	Gm27940
ENSMUSG00000076117	ENSMUSG00000076117.1	X	144297790	144297899	Mir680-2
ENSMUSG00000099300	ENSMUSG00000099300.1	18	68739400	68739501	Mir6356
ENSMUSG00000096030	ENSMUSG00000096030.1	14	54449958	54450064	Gm24424
ENSMUSG00000065402	ENSMUSG00000065402.1	18	65248861	65248926	Mir122
ENSMUSG00000106581	ENSMUSG00000106581.1	6	113707208	113707265	Mir7042
ENSMUSG00000093087	ENSMUSG00000093087.1	8	111016450	111016530	Mir3473d
ENSMUSG00000065328	ENSMUSG00000065328.1	14	10478674	10478873	Gm22053
ENSMUSG00000065191	ENSMUSG00000065191.1	5	123360832	123361000	Gm23458
ENSMUSG00000084544	ENSMUSG00000084544.1	5	66325740	66326062	Gm23183
ENSMUSG00000105924	ENSMUSG00000105924.1	13	23574716	23574853	Gm44359
ENSMUSG00000094780	ENSMUSG00000094780.1	7	89291190	89291299	Gm24659
ENSMUSG00000088393	ENSMUSG00000088393.1	10	128377831	128377899	Gm26308
ENSMUSG00000094593	ENSMUSG00000094593.1	3	119831937	119832057	Gm24744
ENSMUSG00000065219	ENSMUSG00000065219.1	7	45127382	45127464	Snord32a
ENSMUSG00000088957	ENSMUSG00000088957.1	3	63488993	63489098	Gm24946
ENSMUSG00000077477	ENSMUSG00000077477.1	8	111418732	111418863	Gm24793
ENSMUSG00000095502	ENSMUSG00000095502.1	5	135875657	135875763	Gm22450
ENSMUSG00000094968	ENSMUSG00000094968.1	1	47749279	47749399	Gm22419
ENSMUSG00000098367	ENSMUSG00000098367.1	2	45113908	45113984	Gm27645
ENSMUSG00000065428	ENSMUSG00000065428.4	12	109733771	109733846	Mir382
ENSMUSG00000098962	ENSMUSG00000098962.1	13	56699930	56700178	Gm27698
ENSMUSG00000084532	ENSMUSG00000084532.1	1	149734750	149734858	n-R5s218
ENSMUSG00000088747	ENSMUSG00000088747.1	11	72340370	72340640	Gm23224
ENSMUSG00000064818	ENSMUSG00000064818.1	X	154711258	154711365	Gm22359
ENSMUSG00000073753	ENSMUSG00000073753.4	4	129855071	129856710	Gm10571
ENSMUSG00000095129	ENSMUSG00000095129.1	15	72255350	72255456	Gm23217
ENSMUSG00000094703	ENSMUSG00000094703.1	10	70882104	70882210	Gm24486
ENSMUSG00000098718	ENSMUSG00000098718.1	19	16314892	16315004	Mir496b
ENSMUSG00000064766	ENSMUSG00000064766.1	11	11427385	11427512	Gm26458
ENSMUSG00000025226	ENSMUSG00000025226.11	19	46328184	46330446	Fbxl15
ENSMUSG00000095778	ENSMUSG00000095778.1	18	64728066	64728127	Gm23016
ENSMUSG00000095699	ENSMUSG00000095699.1	2	10512203	10512299	Gm26092
ENSMUSG00000065353	ENSMUSG00000065353.1	4	132352322	132352526	Snora73b
ENSMUSG00000089455	ENSMUSG00000089455.1	14	108622543	108622660	Gm24229
ENSMUSG00000070106	ENSMUSG00000070106.1	X	52741693	52741767	Mir363
ENSMUSG00000094598	ENSMUSG00000094598.1	3	16013818	16013927	Gm24694
ENSMUSG00000096659	ENSMUSG00000096659.1	12	54719163	54719326	Gm25679
ENSMUSG00000077392	ENSMUSG00000077392.1	4	5687677	5687802	Gm24337
ENSMUSG00000075832	ENSMUSG00000075832.1	12	86655125	86655231	Gm22004
ENSMUSG00000088471	ENSMUSG00000088471.1	16	36137872	36137974	Gm23080
ENSMUSG00000077488	ENSMUSG00000077488.1	16	13531428	13531551	Gm25276
ENSMUSG00000098867	ENSMUSG00000098867.1	15	82641945	82642001	Gm27463
ENSMUSG00000077857	ENSMUSG00000077857.1	X	127906453	127906559	Gm25061
ENSMUSG00000076305	ENSMUSG00000076305.1	19	17891959	17892051	Gm23063
ENSMUSG00000098603	ENSMUSG00000098603.1	X	103595938	103596008	Gm27798
ENSMUSG00000088329	ENSMUSG00000088329.1	8	69399725	69400020	Gm25661
ENSMUSG00000084459	ENSMUSG00000084459.1	X	64496584	64496657	Gm24598
ENSMUSG00000087909	ENSMUSG00000087909.1	13	38898360	38898587	Gm22035
ENSMUSG00000088318	ENSMUSG00000088318.1	1	87251148	87251248	Gm26187
ENSMUSG00000087844	ENSMUSG00000087844.1	4	48213119	48213215	Mir1958
ENSMUSG00000063586	ENSMUSG00000063586.1	19	14959549	14960766	Gm5513
ENSMUSG00000092916	ENSMUSG00000092916.1	5	138606699	138606781	Gm24082
ENSMUSG00000089261	ENSMUSG00000089261.1	3	115979902	115979955	Mir669n
ENSMUSG00000064604	ENSMUSG00000064604.1	4	132309941	132310069	Snora44
ENSMUSG00000095604	ENSMUSG00000095604.1	18	36810891	36811000	Gm23424
ENSMUSG00000089257	ENSMUSG00000089257.1	18	81026773	81026890	Gm25718
ENSMUSG00000090889	ENSMUSG00000090889.1	14	54976933	54977025	Gm17428
ENSMUSG00000084445	ENSMUSG00000084445.1	5	99870248	99870323	Gm26252
ENSMUSG00000096784	ENSMUSG00000096784.1	15	89888952	89889052	Gm24643
ENSMUSG00000084522	ENSMUSG00000084522.1	11	68996002	68996085	Gm25819
ENSMUSG00000099291	ENSMUSG00000099291.1	11	87448627	87448842	Rnu3b3
ENSMUSG00000099289	ENSMUSG00000099289.1	4	134567723	134567851	Mir6403
ENSMUSG00000105496	ENSMUSG00000105496.1	2	168640696	168640759	Mir7004
ENSMUSG00000065331	ENSMUSG00000065331.1	16	17341906	17342012	Gm24927
ENSMUSG00000089116	ENSMUSG00000089116.1	9	104481368	104481510	Gm25904
ENSMUSG00000084643	ENSMUSG00000084643.1	18	16221019	16221368	Gm24385
ENSMUSG00000094218	ENSMUSG00000094218.1	7	59766611	59766704	Gm23446
ENSMUSG00000084531	ENSMUSG00000084531.1	1	50559762	50560075	Gm25843
ENSMUSG00000089170	ENSMUSG00000089170.1	14	56535971	56536077	Gm22431
ENSMUSG00000088522	ENSMUSG00000088522.1	3	130870949	130871076	Gm26090
ENSMUSG00000084694	ENSMUSG00000084694.1	2	130705328	130705696	Gm24893
ENSMUSG00000087936	ENSMUSG00000087936.1	3	53512002	53512126	Gm23675
ENSMUSG00000077799	ENSMUSG00000077799.1	13	56167600	56167722	Gm25148
ENSMUSG00000099321	ENSMUSG00000099321.1	7	143933115	143933208	Mir6404
ENSMUSG00000088229	ENSMUSG00000088229.1	3	9402175	9402485	Gm22604
ENSMUSG00000077528	ENSMUSG00000077528.1	10	103121236	103121368	Gm25376
ENSMUSG00000064724	ENSMUSG00000064724.1	6	97547438	97547567	Gm25852
